LSM9DS0 WHO_AM_I's returned: 0x49D4
Should be 0x49D4

SGCanScience>Time:4440|Press:838|LM35:49|NTC:513|GyrX:-15|GyrY:-45|GyrZ:-9|AccX:11|AccY:18|AccZ:-1437|MagX:-6059|MagY:-394|MagZ:-1923|
SGCanScience>Time:4581|Press:840|LM35:52|NTC:517|GyrX:-12|GyrY:-47|GyrZ:-10|AccX:21|AccY:35|AccZ:-1447|MagX:-6089|MagY:-373|MagZ:-1967|
SGCanScience>Time:4724|Press:836|LM35:51|NTC:516|GyrX:-20|GyrY:-51|GyrZ:-10|AccX:9|AccY:32|AccZ:-1448|MagX:-6110|MagY:-394|MagZ:-1894|
SGCanScience>Time:4866|Press:840|LM35:46|NTC:520|GyrX:-20|GyrY:-47|GyrZ:-10|AccX:30|AccY:22|AccZ:-1434|MagX:-6069|MagY:-394|MagZ:-1925|
SGCanScience>Time:5007|Press:841|LM35:52|NTC:521|GyrX:-18|GyrY:-49|GyrZ:-6|AccX:28|AccY:27|AccZ:-1440|MagX:-6116|MagY:-383|MagZ:-1916|
SGCanScience>Time:5148|Press:844|LM35:46|NTC:521|GyrX:-19|GyrY:-45|GyrZ:-8|AccX:30|AccY:28|AccZ:-1457|MagX:-6095|MagY:-385|MagZ:-1816|
SGCanScience>Time:5289|Press:836|LM35:49|NTC:513|GyrX:-11|GyrY:-47|GyrZ:-5|AccX:23|AccY:40|AccZ:-1443|MagX:-6079|MagY:-379|MagZ:-1929|
SGCanScience>Time:5433|Press:836|LM35:49|NTC:513|GyrX:-8|GyrY:-50|GyrZ:-8|AccX:14|AccY:27|AccZ:-1436|MagX:-6103|MagY:-370|MagZ:-1920|
SGCanScience>Time:5572|Press:838|LM35:55|NTC:513|GyrX:-23|GyrY:-48|GyrZ:-8|AccX:18|AccY:38|AccZ:-1445|MagX:-6109|MagY:-362|MagZ:-1923|
SGCanScience>Time:5715|Press:841|LM35:46|NTC:520|GyrX:-13|GyrY:-44|GyrZ:-12|AccX:19|AccY:40|AccZ:-1443|MagX:-6074|MagY:-386|MagZ:-1899|
SGCanScience>Time:5857|Press:840|LM35:55|NTC:516|GyrX:-11|GyrY:-53|GyrZ:-9|AccX:28|AccY:25|AccZ:-1444|MagX:-6122|MagY:-380|MagZ:-1933|
SGCanScience>Time:5998|Press:838|LM35:55|NTC:514|GyrX:-14|GyrY:-50|GyrZ:-2|AccX:23|AccY:30|AccZ:-1453|MagX:-6077|MagY:-416|MagZ:-1927|
SGCanScience>Time:6139|Press:835|LM35:51|NTC:517|GyrX:-12|GyrY:-42|GyrZ:-13|AccX:17|AccY:21|AccZ:-1437|MagX:-6097|MagY:-378|MagZ:-1726|
SGCanScience>Time:6283|Press:838|LM35:55|NTC:513|GyrX:-9|GyrY:-44|GyrZ:-9|AccX:14|AccY:33|AccZ:-1432|MagX:-6086|MagY:-384|MagZ:-1924|
SGCanScience>Time:6422|Press:841|LM35:46|NTC:520|GyrX:-19|GyrY:-46|GyrZ:-6|AccX:7|AccY:35|AccZ:-1438|MagX:-6097|MagY:-401|MagZ:-1898|
SGCanScience>Time:6563|Press:836|LM35:49|NTC:515|GyrX:-13|GyrY:-51|GyrZ:-10|AccX:12|AccY:33|AccZ:-1444|MagX:-6091|MagY:-430|MagZ:-1899|
SGCanScience>Time:6707|Press:838|LM35:45|NTC:518|GyrX:-17|GyrY:-48|GyrZ:-6|AccX:10|AccY:18|AccZ:-1447|MagX:-6111|MagY:-389|MagZ:-1915|
SGCanScience>Time:6848|Press:843|LM35:45|NTC:518|GyrX:-14|GyrY:-50|GyrZ:-9|AccX:16|AccY:28|AccZ:-1431|MagX:-6096|MagY:-417|MagZ:-1887|
SGCanScience>Time:6989|Press:838|LM35:55|NTC:514|GyrX:-7|GyrY:-43|GyrZ:-13|AccX:8|AccY:16|AccZ:-1436|MagX:-6057|MagY:-417|MagZ:-1913|
SGCanScience>Time:7131|Press:838|LM35:49|NTC:515|GyrX:-21|GyrY:-52|GyrZ:-8|AccX:4|AccY:19|AccZ:-1432|MagX:-6118|MagY:-418|MagZ:-1494|
SGCanScience>Time:7272|Press:838|LM35:56|NTC:514|GyrX:-13|GyrY:-52|GyrZ:-9|AccX:26|AccY:23|AccZ:-1439|MagX:-6071|MagY:-413|MagZ:-1910|
SGCanScience>Time:7413|Press:841|LM35:55|NTC:514|GyrX:-10|GyrY:-46|GyrZ:-12|AccX:16|AccY:35|AccZ:-1440|MagX:-6091|MagY:-403|MagZ:-1911|
SGCanScience>Time:7555|Press:838|LM35:57|NTC:515|GyrX:-15|GyrY:-57|GyrZ:-7|AccX:21|AccY:37|AccZ:-1436|MagX:-6072|MagY:-394|MagZ:-1896|
SGCanScience>Time:7696|Press:841|LM35:46|NTC:520|GyrX:-16|GyrY:-49|GyrZ:-8|AccX:20|AccY:28|AccZ:-1443|MagX:-6069|MagY:-408|MagZ:-1890|
SGCanScience>Time:7839|Press:841|LM35:46|NTC:520|GyrX:-17|GyrY:-38|GyrZ:-13|AccX:26|AccY:26|AccZ:-1443|MagX:-6071|MagY:-420|MagZ:-1888|
SGCanScience>Time:7981|Press:836|LM35:49|NTC:514|GyrX:-19|GyrY:-49|GyrZ:-7|AccX:18|AccY:23|AccZ:-1437|MagX:-6076|MagY:-393|MagZ:-1914|
SGCanScience>Time:8122|Press:841|LM35:51|NTC:514|GyrX:-17|GyrY:-49|GyrZ:-14|AccX:19|AccY:26|AccZ:-1434|MagX:-6045|MagY:-321|MagZ:-1818|
SGCanScience>Time:8263|Press:843|LM35:54|NTC:518|GyrX:-24|GyrY:-45|GyrZ:-7|AccX:19|AccY:27|AccZ:-1429|MagX:-6046|MagY:-408|MagZ:-1884|
SGCanScience>Time:8407|Press:837|LM35:45|NTC:517|GyrX:-13|GyrY:-47|GyrZ:-7|AccX:9|AccY:30|AccZ:-1442|MagX:-6073|MagY:-390|MagZ:-1930|
SGCanScience>Time:8546|Press:837|LM35:49|NTC:515|GyrX:-16|GyrY:-41|GyrZ:-11|AccX:8|AccY:36|AccZ:-1434|MagX:-6064|MagY:-398|MagZ:-1930|
