•s returned: 0x49D4
Should be 0x49D4

SGCanScience>Time:4614|Press:837|LM35:56|NTC:542|GyrX:-140|GyrY:-82|GyrZ:-178|AccX:1047|AccY:611|AccZ:293|MagX:-8909|MagY:-4608|MagZ:2967|
SGCanScience>Time:4757|Press:842|LM35:55|NTC:537|GyrX:209|GyrY:-72|GyrZ:-87|AccX:1208|AccY:843|AccZ:187|MagX:-8902|MagY:-4724|MagZ:2895|
SGCanScience>Time:4900|Press:836|LM35:56|NTC:541|GyrX:105|GyrY:21|GyrZ:-15|AccX:907|AccY:696|AccZ:331|MagX:-8894|MagY:-4717|MagZ:2947|
SGCanScience>Time:5042|Press:842|LM35:55|NTC:536|GyrX:-48|GyrY:-151|GyrZ:-109|AccX:1096|AccY:858|AccZ:215|MagX:-8876|MagY:-4797|MagZ:2971|
SGCanScience>Time:5187|Press:841|LM35:56|NTC:537|GyrX:75|GyrY:-81|GyrZ:-95|AccX:1057|AccY:738|AccZ:347|MagX:-8877|MagY:-4797|MagZ:2956|
SGCanScience>Time:5328|Press:841|LM35:55|NTC:537|GyrX:-90|GyrY:-2|GyrZ:10|AccX:1000|AccY:747|AccZ:247|MagX:-8906|MagY:-4764|MagZ:3066|
SGCanScience>Time:5470|Press:842|LM35:56|NTC:536|GyrX:-176|GyrY:1|GyrZ:-21|AccX:1038|AccY:809|AccZ:201|MagX:-8918|MagY:-4835|MagZ:2807|
SGCanScience>Time:5611|Press:839|LM35:55|NTC:540|GyrX:-48|GyrY:-69|GyrZ:59|AccX:1063|AccY:893|AccZ:132|MagX:-8966|MagY:-4838|MagZ:2740|
SGCanScience>Time:5754|Press:836|LM35:55|NTC:541|GyrX:81|GyrY:-81|GyrZ:-50|AccX:1119|AccY:866|AccZ:119|MagX:-9008|MagY:-4819|MagZ:2733|
SGCanScience>Time:5896|Press:837|LM35:55|NTC:541|GyrX:204|GyrY:-75|GyrZ:-35|AccX:1060|AccY:826|AccZ:200|MagX:-8978|MagY:-4856|MagZ:2723|
SGCanScience>Time:6039|Press:842|LM35:55|NTC:537|GyrX:-11|GyrY:0|GyrZ:-7|AccX:1024|AccY:773|AccZ:211|MagX:-8984|MagY:-4860|MagZ:2781|
SGCanScience>Time:6180|Press:842|LM35:56|NTC:535|GyrX:-238|GyrY:91|GyrZ:42|AccX:1046|AccY:839|AccZ:165|MagX:-8897|MagY:-4809|MagZ:2831|
SGCanScience>Time:6322|Press:839|LM35:56|NTC:539|GyrX:1189|GyrY:-1027|GyrZ:497|AccX:978|AccY:564|AccZ:275|MagX:-9108|MagY:-4766|MagZ:2638|
SGCanScience>Time:6467|Press:836|LM35:56|NTC:541|GyrX:-213|GyrY:221|GyrZ:-314|AccX:1414|AccY:926|AccZ:61|MagX:-9296|MagY:-4869|MagZ:2182|
SGCanScience>Time:6608|Press:836|LM35:56|NTC:541|GyrX:-40|GyrY:174|GyrZ:394|AccX:965|AccY:535|AccZ:24|MagX:-9243|MagY:-4598|MagZ:2436|
SGCanScience>Time:6752|Press:841|LM35:55|NTC:537|GyrX:1165|GyrY:-1092|GyrZ:0|AccX:912|AccY:665|AccZ:67|MagX:-9388|MagY:-4613|MagZ:1975|
SGCanScience>Time:6893|Press:840|LM35:55|NTC:537|GyrX:697|GyrY:863|GyrZ:184|AccX:1547|AccY:1241|AccZ:-333|MagX:-9334|MagY:-5018|MagZ:1455|
